ra,dec,mag
219.91437123445607,-60.83543974254791,20.380663
219.9167994148284,-60.832870457437735,20.626638
219.92803266351498,-60.83520807102797,20.787184
219.92545686322396,-60.83364645161907,20.719023
219.9324892147972,-60.83052188800369,20.386724
219.92868588648207,-60.82720911615729,20.453718
219.9222145052571,-60.82983818792664,19.397747
219.9400834706246,-60.83320330408597,19.955505
219.9476878731084,-60.83146113330161,20.326498
219.94279424070731,-60.83297085066657,19.533772
219.93149534783672,-60.827687829022445,19.393198
219.9322446272009,-60.82707559746261,20.2575
219.9319280344095,-60.827300898096695,19.880474
219.93556225548815,-60.82808744682423,20.1501
219.93460107135414,-60.82814099649377,19.630253
219.93404186345052,-60.826398014707735,19.65614
219.93462863619433,-60.82607837145654,21.000187
219.92647165446897,-60.824067219930434,19.15501
219.92678550205338,-60.82369438842096,16.154194
219.93317994663727,-60.82192169066401,19.683996
219.930268115428,-60.82306296285202,19.470629
219.93487364623778,-60.82394521348468,20.485228
219.93667531728826,-60.8272851705501,20.12642
219.9450367252748,-60.83187757281105,16.16069
219.93840671745468,-60.83053198961093,19.933313
219.94274113674354,-60.83207190246626,18.897593
219.93732544410094,-60.82961144972834,18.58673
219.9345006166233,-60.826772288431734,17.550632
219.9145886802273,-60.82863281266404,15.306809
219.91278087303715,-60.83102962935347,18.485672
219.90444056732642,-60.81801620949751,19.861969
219.91271571039107,-60.81920617887086,19.732191
219.90764725355524,-60.817101850439826,18.780537
219.91567546472496,-60.81829312148018,20.077337
219.914762970917,-60.827589100216,18.911968
219.904531855464,-60.82071117627351,20.846327
219.9117891741098,-60.825428460762176,20.510994
219.91351687950282,-60.8137196262684,16.84716
219.92663304516574,-60.81890638552779,21.07023
219.9232567573886,-60.821423620048925,16.941154
219.89838223278826,-60.815676035284014,18.153845
219.90527684801623,-60.82178526474971,15.297225
219.913552436147,-60.8197769782522,16.83535
219.90964176788174,-60.82426413767714,16.787758
219.8981490043909,-60.82407919781157,17.94197
219.9112422636273,-60.814385705488284,17.848316
219.90433254225854,-60.8250429457396,18.374348
219.90380490992442,-60.8160124672791,20.538548
219.89970106377626,-60.81989929185181,19.336927
219.91419586200965,-60.82036376605898,18.742697
219.91158327940616,-60.81601545509403,19.520298
219.90503972517914,-60.81712535486862,21.240564
219.91351021894127,-60.826436562007494,19.165947
219.9074302858985,-60.828693377329245,20.32301
219.90268102728905,-60.827396486190224,20.338982
219.91709196908084,-60.82585136160075,20.469852
219.92034863685993,-60.822329393160935,20.436787
219.91341883102572,-60.81624527189358,20.646727
219.910325070984,-60.81165709544949,19.045832
219.92742539091313,-60.820679014960334,20.44065
219.9158266713477,-60.81470734407711,19.826418
219.91681540961392,-60.8121739596107,19.407564
219.92680745878013,-60.81841353904962,20.620188
219.91564188496312,-60.81194183222599,20.950735
219.90078506164312,-60.81294215064469,19.944504
219.9016619632979,-60.81197699022028,20.600754
219.90060872530196,-60.81234731603161,14.56702
219.89004607593102,-60.8151873960595,20.310795
219.90244956556126,-60.815332772575005,17.290941
219.89237250836786,-60.81333964191465,19.449593
219.90661730799894,-60.81096564522521,18.051085
219.90291020961155,-60.81222017556492,20.447165
219.9027352175771,-60.811220319201226,20.690086
219.90417212605186,-60.81319422327931,20.996555
219.90366338210967,-60.8112446515039,20.138165
219.90035470612287,-60.809679261767734,20.9257
219.88465266414224,-60.81509867457958,20.861822
219.88513166655295,-60.81236169268788,20.909035
219.90899003316343,-60.810934273526314,20.340096
219.94368866958916,-60.83515979559314,19.371506
219.94762829637128,-60.833048346083125,19.346096
219.92721100762475,-60.84220085661556,20.643566
219.91413006056231,-60.8319389845222,17.696762
219.92010737464847,-60.83328015262995,19.863342
219.92257658434517,-60.83624704137001,19.52775
219.93325405488903,-60.83458484357995,14.867368
219.92958687895353,-60.83085550030696,19.893467
219.93164415866278,-60.831161217689,18.199516
219.92976332562532,-60.82957927865875,20.28809
219.9239890679321,-60.83728408476321,20.789694
219.92119294509752,-60.834135388278106,20.833607
219.91495307087757,-60.83325655566031,20.206202
219.93300787835028,-60.82419324882334,17.074936
219.93430084907567,-60.8308133640009,19.436728
219.94287523662942,-60.8293846137107,19.074167
219.94017814637775,-60.82982093961133,20.80271
219.93124326761438,-60.826771601684385,20.796618
219.9281330560823,-60.823495338278875,20.814726
219.93626706980334,-60.8282443961919,20.896511
219.91025470826554,-60.83134343913982,19.167536
219.9187708530623,-60.825571300156504,19.745638
219.92213654948722,-60.82346891938692,18.493673
219.92355614726947,-60.82215548465519,20.010271
219.92919219674678,-60.82026332690571,20.160427
219.88997608316473,-60.8135796707155,19.645054
219.91494507479953,-60.82473975538766,16.922655
219.9101972825247,-60.82158089351743,19.14661
219.89884368385543,-60.81934743202087,20.038054
219.91727322755852,-60.82263389654474,20.308336
219.90061326445718,-60.81800874577069,20.715519
219.91385922710228,-60.82506617931307,20.29978
219.89980979712763,-60.82207934267091,18.382822
219.91406564376916,-60.81201461875247,21.127436
219.91523099135608,-60.815538195480094,20.388353
219.89017834326677,-60.81333378181121,18.751322
219.89337987273137,-60.81900358444823,18.544815
219.88671308238344,-60.81154118002627,20.162106
219.89335517844222,-60.813653141548066,16.21939
219.90582263430022,-60.81024772046811,17.037893
219.90392291384705,-60.81031591774824,17.78308
219.89108172833005,-60.81715022740386,19.746704
219.85727931061996,-60.82336269971214,18.193443
219.86493126137836,-60.82272312541369,17.028261
219.86329454534868,-60.822574664005394,17.451933
219.84905738139832,-60.81342770580718,17.712296
219.85250740427966,-60.81489437657428,18.03388
219.8518694385438,-60.81258522486907,15.372367
219.85388756601355,-60.81625954344738,17.882383
219.84569464263174,-60.8151050812847,18.202381
219.85304861433772,-60.818515570510236,19.803469
219.84148166508268,-60.82898846995201,18.03996
219.84173991113218,-60.82295625601598,16.288755
219.85040875643085,-60.82742425273807,17.112215
219.84774701337875,-60.82857007125533,17.564783
219.84509712797433,-60.829201088625794,18.09123
219.84447225973722,-60.82313124683358,18.201523
219.8513769452235,-60.814638256021155,20.226671
219.83539579279628,-60.8281355063947,16.99858
219.8722149462455,-60.81569667197475,19.885378
219.87288725278614,-60.81450994074431,19.64964
219.88521198446313,-60.81450597413992,19.658222
219.87958591689824,-60.81461190470076,20.119005
219.86735102929148,-60.81482622673033,18.608002
219.85664871850744,-60.81031059118672,20.55475
219.8559636953266,-60.81145392058129,18.745836
219.85823144616558,-60.80957750934234,19.634113
219.8544201532106,-60.812757136233415,20.51475
219.86146172741218,-60.813578269598885,20.312288
219.86043147051748,-60.81183456101334,20.4345
219.86319214835916,-60.81339517214286,20.537766
219.86732716218268,-60.809496109267386,20.920958
219.86589166321366,-60.81535663765412,16.799112
219.87805057262705,-60.8064965570348,19.638428
219.87776868069096,-60.80728060566843,20.591806
219.89692678546646,-60.809586021526705,18.834187
219.88936769880638,-60.80982058676777,17.432978
219.87502966879597,-60.81270478435795,18.404627
219.89072147179036,-60.805675124936876,19.308363
219.8823232904359,-60.8078505357893,18.008734
219.8884388450368,-60.80845273294289,20.818443
219.8882647626862,-60.808064270125605,20.318298
219.8948995951275,-60.8039373744978,21.080395
219.88618394342055,-60.80975918931146,20.441597
219.89909333330337,-60.808692237323754,20.200762
219.87373193212036,-60.8123189639217,18.91115
219.89027403586257,-60.81196761214474,18.320818
219.9025130212064,-60.805642282246374,19.28838
219.9041212136466,-60.804335489031196,19.093422
219.90476929372247,-60.80572739749339,19.633259
219.90109203016348,-60.80262529240535,20.83058
219.86408989007973,-60.80558483696035,20.507187
219.88625100405167,-60.803688756008455,19.513887
219.86768246427403,-60.80535810336386,17.286552
219.88570749130034,-60.8019744739246,17.09495
219.87941634956735,-60.806375615979164,20.049562
219.88229644737777,-60.80967647302597,20.076954
219.882391993188,-60.8109680652916,20.848864
219.896079649771,-60.80470749694497,21.099634
219.88248166779823,-60.81276182241474,20.205015
219.88174878949158,-60.81315639426226,20.971754
219.89924105710347,-60.80918957142805,20.864708
219.88884354482326,-60.81393073421761,18.254126
219.88189981598003,-60.81033581977071,20.44015
219.8927579669561,-60.80764156562935,21.043623
219.88711948162432,-60.80965664383952,16.54082
219.9091380049123,-60.80450523835439,20.208326
219.90261190405505,-60.80167754925532,18.770203
219.86761584034105,-60.8045133978169,18.77786
219.88445854992423,-60.80480872385694,20.8747
219.86688454655146,-60.81079417671066,19.44945
219.86732227743323,-60.8123130067644,18.096415
219.8772024708087,-60.802512496469966,20.276556
219.88665625706201,-60.802811856494294,19.914938
219.87815267649978,-60.80419241885551,17.985596
219.87186284151718,-60.80809897023245,20.98228
219.95083431401434,-60.855568744068854,20.612791
219.94897740078028,-60.855509659055095,16.529837
219.94922484069048,-60.85538536918609,14.194794
219.94891686001702,-60.85275103130842,20.248371
219.95659400052133,-60.85197289556404,16.331873
219.95578598413476,-60.84988377249133,20.235748
219.9472588824461,-60.854541607575264,21.027485
219.95217773877079,-60.854810010007874,18.996891
219.96102447032067,-60.84521357737364,21.226545
219.9607762910339,-60.84949688347283,15.741088
219.96646601584186,-60.843712214886885,18.121655
219.95163918301813,-60.84703841089924,19.065819
219.941813032865,-60.85438193107653,20.353212
219.94808452445832,-60.852405669859635,20.025488
219.94485658713916,-60.851569803361556,19.013859
219.94636169734818,-60.85014295047297,18.43157
219.94353688338376,-60.84087957952711,20.130081
219.94225786234165,-60.8400903697952,20.618755
219.93903549988354,-60.83943063632392,20.042759
219.948989137369,-60.84400792409063,20.958809
219.9455690701804,-60.84455341037561,19.809032
219.94487131281858,-60.84584184036388,17.109053
219.94759910380748,-60.84991349227206,19.487421
219.9408679406922,-60.85556788603445,20.678219
219.93358664665814,-60.841402479655855,21.011097
219.94172119236055,-60.84437421028171,20.999855
219.93141192179996,-60.84823503625811,19.474909
219.94015028002826,-60.84953003281468,16.162436
219.94943078131786,-60.84945904905151,20.177078
219.9446464626477,-60.84922977851085,20.523657
219.9357200105549,-60.84155759417482,17.196783
219.93580724073496,-60.847163889828565,19.474218
219.94930482108416,-60.850761297301396,20.98607
219.93420507656063,-60.84687821857146,19.163078
219.94288572942077,-60.84282609988213,20.49565
219.9429778502329,-60.839656026627246,19.173332
219.94849774885054,-60.842309489443416,19.14738
219.93189646664646,-60.84341674498784,19.199871
219.96178288366656,-60.843925314911125,17.460577
219.95145583020303,-60.83952036861859,18.040659
219.96793819980405,-60.84068843121975,
219.9571324294106,-60.83040059150205,21.142511
219.9591361760625,-60.84234566512687,20.715254
219.96029582802566,-60.84413322696642,20.404726
219.96003310404345,-60.842697187699706,21.153187
219.9498564525703,-60.841785375603564,20.889383
219.95485706845585,-60.84468006794837,17.345512
219.94820049388974,-60.83870917120821,17.490822
219.95896437268672,-60.83929221492268,19.50552
219.9556983786943,-60.83526755683766,20.470304
219.94544574036536,-60.835582613132345,18.786089
219.9650989378609,-60.834028439764246,18.95902
219.96396516586017,-60.839438029713875,16.685246
219.9704979700528,-60.832493100315126,17.544733
219.96136644197617,-60.838785853413825,16.72967
219.95560119802906,-60.834965675968924,17.49958
219.94449059907043,-60.841254629469134,20.745035
219.94119867204873,-60.84193327604232,20.487375
219.93755459467278,-60.852026054430524,21.135838
219.9415281667623,-60.85072381201439,20.493418
219.93494380245158,-60.84109056288569,21.171232
219.9412086713038,-60.83829445298053,20.35361
219.96042540283923,-60.83045598160112,19.719706
219.9648306417049,-60.83076777503096,21.229118
219.9671748280788,-60.83593953748324,20.514639
219.95623323786694,-60.836318968287884,20.625055
219.9523388364522,-60.83567448394034,20.612083
219.96287531652132,-60.83472545264349,20.568213
219.9494559256495,-60.83423331024556,18.100655
219.95516474458418,-60.84753687179195,20.525417
219.95071548864036,-60.84901123937439,17.999271
219.95190917818707,-60.8473070048313,17.446198
219.95233620980937,-60.849322853636224,19.616734
219.96130318192374,-60.84475111469851,20.393936
219.95598394396072,-60.84950832388576,19.077469
219.95562860527554,-60.85018337784678,19.503937
219.95726705941732,-60.850079431081326,20.270243
219.95495966696774,-60.853407609458365,20.645285
219.94788705590082,-60.85652389357931,
219.9593650019996,-60.84718760360533,20.752956
219.94245845452218,-60.852501292407055,20.126186
219.94334364850852,-60.85328395819755,20.80708
219.94649824762422,-60.84120028545167,19.19873
219.94196626137253,-60.84938343850083,16.940216
219.94176370713524,-60.84721491965612,15.81047
219.9448712995958,-60.84081530506442,19.739744
219.96703472190336,-60.83459126392905,20.690897
219.9688030484954,-60.83320536205275,19.884014
219.96785058733164,-60.8338219485057,18.942097
219.95111807954956,-60.82705890409766,19.611439
219.95089440703964,-60.8273520397177,17.051203
219.94995532244295,-60.823182588538764,14.617707
219.95016862229372,-60.82359834132251,
219.9545059060742,-60.821004520211105,17.844788
219.94783548974635,-60.83007208331207,20.871042
219.94788831203542,-60.82704848929725,18.175001
219.94263181198568,-60.81971543879992,20.386112
