ra,dec,gmag
219.82046323269282,-60.80736992935495,21.03737
219.81452043828835,-60.80793301986674,18.256372
219.81369484490213,-60.80741672979961,17.872082
219.8143697981871,-60.82104236554231,20.154144
219.81019576066006,-60.81041511214241,20.948954
219.81759427793514,-60.82226407773735,20.301683
219.82162016973865,-60.81928037268133,17.852043
219.8299920114742,-60.80617899938599,20.746796
219.83706068570507,-60.81156797513762,18.306662
219.8270178774681,-60.80415081955976,20.52294
219.79562742856962,-60.81311779076638,19.286549
219.7964859615554,-60.814390867555424,21.176767
219.80373589052925,-60.80800314531611,19.16778
219.8156108274018,-60.80184804680773,20.074114
219.81124177026174,-60.80221634526588,20.46232
219.81418936040293,-60.802358569690085,20.46343
219.801210081654,-60.809904767324234,20.308731
219.8113415559352,-60.80437740427887,
219.806654288156,-60.805604872275524,16.415861
219.80579401623584,-60.80808889016225,19.724894
219.84148166508268,-60.82898846995201,18.03996
219.84173991113218,-60.82295625601598,16.288755
219.85040875643085,-60.82742425273807,17.112215
219.84774701337875,-60.82857007125533,17.564783
219.84509712797433,-60.829201088625794,18.09123
219.84447225973722,-60.82313124683358,18.201523
219.8275292315386,-60.828098056869024,17.020344
219.83923806697436,-60.81663677028914,18.04596
219.84445384431422,-60.81059221293746,17.815037
219.8513769452235,-60.814638256021155,20.226671
219.82701288788212,-60.79759144483074,20.819452
219.80616595808053,-60.818183362417635,21.161955
219.82589836537772,-60.80601294386454,18.292986
219.83100348878617,-60.81072227821889,21.111097
219.83281951350074,-60.809951664693926,15.619975
219.8267974407512,-60.81051929580403,16.253267
219.81709051517512,-60.820363046671254,20.429613
219.79109934259756,-60.81145016749759,
219.80273872245348,-60.80302634059459,19.606754
219.8104424212902,-60.82077275079938,20.14927
219.80863896007173,-60.82057592524177,20.399353
219.83365803174692,-60.82292961606983,18.557375
219.8271460607986,-60.826586937094746,18.939383
219.83539579279628,-60.8281355063947,16.99858
219.8348966593876,-60.81534816268854,16.708914
219.8339609063987,-60.819580052783216,19.343971
219.84465193901804,-60.80931759476965,18.695024
219.84249877961352,-60.81022198437908,19.696585
219.8175163697881,-60.807774225511224,20.436415
219.8214877154665,-60.80163597276692,
219.82405360029304,-60.80586798432342,21.237534
219.8237309016519,-60.814460310623325,19.150757
219.8224440977067,-60.813087391398305,19.533203
219.81653350007056,-60.81131215212329,18.611433
219.83013756606923,-60.80638361164553,20.055971
219.82859614470863,-60.80020317727527,18.93608
219.8319201080407,-60.80130171410589,16.412271
219.82914041372263,-60.80514674593106,16.527319
219.79686723699749,-60.814039149768384,18.86366
219.80248295644722,-60.806460396713064,17.781815
219.81787352148558,-60.80231806995789,20.330128
219.79496505496695,-60.80475730167869,19.158642
219.8096511124931,-60.80083242088081,17.155401
219.8142470892658,-60.80181902882237,17.947252
219.8722149462455,-60.81569667197475,19.885378
219.87288725278614,-60.81450994074431,19.64964
219.88521198446313,-60.81450597413992,19.658222
219.87958591689824,-60.81461190470076,20.119005
219.86735102929148,-60.81482622673033,18.608002
219.85664871850744,-60.81031059118672,20.55475
219.8559636953266,-60.81145392058129,18.745836
219.85823144616558,-60.80957750934234,19.634113
219.8544201532106,-60.812757136233415,20.51475
219.86146172741218,-60.813578269598885,20.312288
219.86043147051748,-60.81183456101334,20.4345
219.85590013510773,-60.80569420884904,20.540808
219.86319214835916,-60.81339517214286,20.537766
219.85144625383623,-60.80985407392876,14.419005
219.86732716218268,-60.809496109267386,20.920958
219.86589166321366,-60.81535663765412,16.799112
219.85352495283843,-60.8080054106892,18.072512
219.85954522325983,-60.80402297107025,19.78405
219.84573863145758,-60.80093528084574,18.976845
219.84178690053554,-60.80141997605968,19.072107
219.83986150743868,-60.80153121721053,20.267773
219.85158892111556,-60.799560375900334,17.954248
219.85580493212652,-60.80081153247414,18.271278
219.84549907198277,-60.798778714228526,18.557467
219.85222102403677,-60.80368370785872,17.094713
219.8524225919712,-60.79933115450592,15.327542
219.85021227624605,-60.8002592439087,17.549541
219.83558061549664,-60.79960761923956,20.831831
219.842070663242,-60.80051298914459,19.446625
219.86505590099316,-60.80138309050969,18.24267
219.87805057262705,-60.8064965570348,19.638428
219.87776868069096,-60.80728060566843,20.591806
219.85766664551696,-60.799237929685276,16.05419
219.8528901951768,-60.79689532524215,17.030172
219.89692678546646,-60.809586021526705,18.834187
219.88936769880638,-60.80982058676777,17.432978
219.87502966879597,-60.81270478435795,18.404627
219.8823232904359,-60.8078505357893,18.008734
219.8884388450368,-60.80845273294289,20.818443
219.8882647626862,-60.808064270125605,20.318298
219.88618394342055,-60.80975918931146,20.441597
219.87373193212036,-60.8123189639217,18.91115
219.89027403586257,-60.81196761214474,18.320818
219.86408989007973,-60.80558483696035,20.507187
219.86946180617602,-60.80354523123579,20.092789
219.87443120882008,-60.80210643560652,18.351398
219.86768246427403,-60.80535810336386,17.286552
219.87941634956735,-60.806375615979164,20.049562
219.8594287919165,-60.79701126424228,19.879335
219.85737186826677,-60.80003142101169,20.154804
219.88229644737777,-60.80967647302597,20.076954
219.882391993188,-60.8109680652916,20.848864
219.88248166779823,-60.81276182241474,20.205015
219.88174878949158,-60.81315639426226,20.971754
219.88884354482326,-60.81393073421761,18.254126
219.88189981598003,-60.81033581977071,20.44015
219.8927579669561,-60.80764156562935,21.043623
219.88711948162432,-60.80965664383952,16.54082
219.86761584034105,-60.8045133978169,18.77786
219.86806419598625,-60.800268750137626,20.571566
219.88445854992423,-60.80480872385694,20.8747
219.84123641179605,-60.803575873858236,20.985537
219.8364996848198,-60.79579322145529,18.284445
219.85367825466585,-60.808759653433825,18.27515
219.86688454655146,-60.81079417671066,19.44945
219.86732227743323,-60.8123130067644,18.096415
219.84009704481,-60.800617484487965,20.223103
219.84870109163077,-60.805071214479995,18.668686
219.85447431114198,-60.80209944037275,16.60804
219.8648930740789,-60.80331983773145,20.316624
219.86451328521733,-60.803639987439155,17.292465
219.8772024708087,-60.802512496469966,20.276556
219.87815267649978,-60.80419241885551,17.985596
219.87186284151718,-60.80809897023245,20.98228
219.85504649414918,-60.86126763967562,21.180738
219.86075827124066,-60.856125647500726,19.539114
219.86072473770068,-60.8584776920568,20.358717
219.855447762597,-60.85907945045696,20.764933
219.86243462661682,-60.855294135049604,16.61924
219.86376488504754,-60.85449788446352,15.117069
219.8635925449791,-60.85660124572034,19.525454
219.86372684252817,-60.85742874339477,19.902666
219.85239639712862,-60.85981349222782,20.612535
219.8553650303196,-60.8593161001899,20.516195
219.86300719751512,-60.856460935150125,18.657953
219.85497041097054,-60.85939250217495,20.495378
219.86173506170184,-60.85933208519,20.056227
219.8669077798035,-60.85861723871886,18.379156
219.86945825334323,-60.858302401460406,21.157448
219.86378484142588,-60.859252287232,18.400726
219.86070523662852,-60.85305579267222,18.866018
219.82849553222397,-60.85764079831703,20.327614
219.83001978530234,-60.86054300720619,18.84151
219.84739410904132,-60.8571281733213,18.200266
219.83576514018844,-60.85657450617428,20.70097
219.8449564847292,-60.86126072471264,20.539303
219.8378195598682,-60.86224798683269,19.740631
219.8382278089213,-60.85952743391215,18.333252
219.8396691384804,-60.854512076616594,20.021582
219.8533491240961,-60.85576051708075,19.70337
219.85528603034152,-60.85548957060189,17.693947
219.8383731710344,-60.86033503750147,19.927929
219.84212928754187,-60.85778822977584,20.825167
219.85558261577964,-60.85690397848291,19.203524
219.85378654360989,-60.85157336632443,20.325659
219.84824176185785,-60.854495524148064,20.603283
219.84541656758793,-60.851134274016246,20.918741
219.84862676156183,-60.85282418239235,18.451757
219.84916528174026,-60.84835168454093,20.334341
219.8239644502553,-60.85688121584313,19.6606
219.8237985204462,-60.85991841599495,17.622377
219.82855349610065,-60.85875823562515,20.627188
219.82509085221437,-60.85643479507955,17.322155
219.8263795408969,-60.85969911823834,16.743656
219.84229995209947,-60.85099255455089,16.728374
219.8404313492704,-60.848573612612554,18.553415
219.83687152319155,-60.8535159705671,20.593794
219.8371072487051,-60.851612891339514,17.766521
219.8192164703769,-60.856076465067275,20.259583
219.8145731502522,-60.84963335220253,14.814792
219.80954189543374,-60.85554027946066,19.96619
219.80974213260887,-60.85425343092321,19.440653
219.81824779113538,-60.85230495949104,20.808064
219.82912201336688,-60.85168760695296,14.898551
219.8302178474637,-60.851630850410345,19.66127
219.8256871620639,-60.852027924872665,18.364386
219.83014804906335,-60.84866822236959,18.629974
219.81745085173608,-60.84566081615974,19.949099
219.82498856219465,-60.844085444122655,20.447212
219.82167283926535,-60.844185739002654,20.906
219.82925717022158,-60.84622940774968,20.972271
219.82000134203224,-60.84681885195344,20.961185
219.82401788671277,-60.84872208549195,20.752394
219.83022579551115,-60.85132442634541,16.469944
219.82511546017966,-60.8504544583113,18.783587
219.82339568864253,-60.84968606203584,15.547281
219.83171218840815,-60.84830129042787,14.831793
219.8370394234747,-60.84739721411495,20.253187
219.81558917111627,-60.848136811757236,18.969584
219.83295176935349,-60.850491242462404,20.337843
219.82454995343326,-60.85056433872682,19.055162
219.83039722775845,-60.84681702205167,18.003088
219.80450413383232,-60.8529543800015,20.814514
219.8002707101166,-60.85382767416205,20.31597
219.81181859024434,-60.84552227350954,20.757257
219.8182333747524,-60.84381111283022,20.69252
219.83407296083342,-60.859480138100345,19.541906
219.85292991556878,-60.856271597288334,20.763437
219.8339141118229,-60.85786359999474,20.605307
219.8416820686423,-60.8606611535004,19.393286
219.85546935327878,-60.85338091168843,14.425549
219.85629432272515,-60.85387323543333,18.308147
219.83844145702636,-60.85856593727269,20.93841
219.85420211630966,-60.85504932425687,18.508
219.85328104223063,-60.85735284800471,20.503975
219.83087381371547,-60.85946462484467,19.056368
219.84807375055973,-60.853807388250154,18.913668
219.85244119321564,-60.84997714589889,20.299185
219.86179593815328,-60.85343138900519,17.960445
219.85622481741999,-60.84989795304689,17.38141
219.85813646935898,-60.85103990539751,18.47612
219.82151798866963,-60.856430919929494,19.052094
219.81524184638494,-60.85010271906428,21.02651
219.81804840897388,-60.85544931425312,20.337921
219.8224107530484,-60.858255664529096,20.880314
219.84327321326677,-60.84970189904577,19.780268
219.82627116257973,-60.849514680596585,19.92918
